     5.0	  3650.0	  1450.0	 17500.0	   400.0	   515.0	   125.0	     8.0	  1500.0	   600.0	  4167.0
     7.0	  4170.0	  1320.0	 16000.0	   400.0	   750.0	   115.0	     7.5	  1000.0	   800.0	  4516.0
     7.0	  3830.0	  2180.0	 17500.0	   400.0	   900.0	   135.0	     7.0	  1500.0	   800.0	  6549.0
     7.0	  4470.0	  2260.0	 18000.0	   420.0	   800.0	   150.0	     8.5	  1500.0	  1000.0	  8457.0
     6.0	  4060.0	  2180.0	 17300.0	   400.0	   800.0	   150.0	     7.0	  1500.0	  1000.0	  7613.0
     7.0	  5530.0	  2140.0	 16500.0	   400.0	   700.0	   106.0	     8.0	  1500.0	   800.0	  4877.0
    10.0	  6850.0	  2340.0	 20800.0	   750.0	   680.0	   180.0	     7.5	  2000.0	  1000.0	 17138.0
     9.0	  7430.0	  2340.0	 20200.0	   800.0	   640.0	   200.0	     7.5	  2500.0	  1200.0	 25631.0
     9.0	  7750.0	  2340.0	 19100.0	   900.0	   529.0	   220.0	     8.0	  2500.0	  1200.0	 31263.0
    14.0	 12160.0	  1880.0	 15200.0	   850.0	   780.0	   200.0	     7.0	  3500.0	  1500.0	 63674.0
    18.0	  6780.0	  2130.0	 18000.0	  1250.0	   350.0	   235.0	     9.0	  6000.0	  2000.0	166340.0
